pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,sy_gaiamag
11 Com b,11 Com,1,2,1,Radial Velocity,2007,Xinglong Station,323.21000000,1.178000,,,0.238000,,,G8 III,4874.00,13.76,2.09,-0.260,[Fe/H],2.45,93.1846000,4.4403800
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997000,1.530000,,,0.080000,,,,4213.00,29.79,2.78,-0.020,[Fe/H],1.93,125.3210000,4.5621600
14 And b,14 And,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76000000,0.775000,,,0.000000,,,K0 III,4888.00,11.55,1.78,-0.210,[Fe/H],2.55,75.4392000,4.9178100
14 Her b,14 Her,1,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.03890000,2.774000,,2559.47216,0.373000,,,,,,0.91,,,,17.9323000,6.3830000
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,Multiple Observatories,798.50000000,1.660000,,,0.680000,,,,5750.00,1.13,1.08,0.060,[Fe/H],4.36,21.1397000,6.0642800
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,Lick Observatory,578.38000000,1.450000,,,0.060000,,,K3 III,4157.00,25.92,1.22,-0.010,[Fe/H],1.70,124.9530000,4.7542900
18 Del b,18 Del,1,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85000000,2.476000,,,0.024000,,,G6 III,4980.00,8.80,2.10,-0.060,[Fe/H],2.87,76.2220000,5.2747600
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,Gemini Observatory,,330.000000,,3000.00000,,,1700,K7 V,4060.00,,0.85,,,,139.1350000,12.0572000
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33000000,0.194000,,,0.032000,,,G3 IV,4816.00,12.19,1.05,-0.780,[Fe/H],2.28,95.9863000,5.3339000
24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,Lick Observatory,452.80000000,1.333000,,,0.090000,,,,5098.00,4.90,1.54,-0.030,[Fe/H],3.50,72.0691000,6.2037400
24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,Lick Observatory,883.00000000,2.080000,,,0.290000,,,,5098.00,4.90,1.54,-0.030,[Fe/H],3.50,72.0691000,6.2037400
2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,Subaru Telescope,,118.000000,,1271.31363,,,1450,M V,3100.00,0.84,0.17,0.010,[Fe/H],4.50,128.4840000,14.3374000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,Paranal Observatory,,84.000000,,4131.79000,,,,M5.5/M6,,,0.19,,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,W. M. Keck Observatory,,52.000000,,7786.50000,,,,M3.5 V,3530.00,,0.40,,,,33.8281000,12.9025000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156.000000,16.141,4417.83700,,,,M6,3064.00,0.28,0.11,,,4.59,,15.0123000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,Hubble Space Telescope,,15.000000,,2383.60000,,,,M8.5,,,0.02,,,,,18.9668000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,Paranal Observatory,,55.000000,,1589.15000,,,1250,M8,,,0.02,,,,64.3080000,17.4076000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,Kepler,406.00000000,,,,0.330000,,,,29564.00,0.20,0.48,,,5.51,396.3320000,12.1376000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,Imaging,2016,W. M. Keck Observatory,,230.000000,,3972.87500,,,,K7 V,4045.00,,0.60,,,,69.5737000,11.9484000
30 Ari B b,30 Ari B,1,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001000,0.990000,,,0.290000,,,,6331.00,1.41,1.93,0.190,[Fe/H],4.43,44.6570000,6.9608500
4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27000000,0.877000,,,0.453000,,,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],1.80,73.4603000,4.2377300
42 Dra b,42 Dra,1,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.10000000,1.190000,,,0.380000,,,K1.5 III,4200.00,22.03,0.98,-0.460,[Fe/H],1.71,90.6545000,4.4321600
